subject,k,alpha_var,phi_var,train_iter,eta_var,lr_a,lr_b,lr_c,min_cf,min_df,seed,coherence_cv,irbo_aggregated,irbo_tp_min,irbo_tp_max,topic_quality,ll_per_word,time_seconds
math,50,0.01,0.1,500,0.01,0.01,0.1,0.55,5,3,42,0.4290871579625934,0.8498519568070902,0.4914608437885656,0.958253913348484,0.5702547629110124,-9.532930427306288,429.0
math,50,0.01,0.1,500,0.1,0.01,0.1,0.55,5,3,42,0.4303997691801653,0.8286545399207521,0.4680891529371545,0.9642543789424198,0.5665406490156428,-10.83234757310783,439.9
math,50,0.01,0.1,1000,0.01,0.01,0.1,0.55,5,3,42,0.4308645987011861,0.9091921870171138,0.5383836568495918,0.9719698535522447,0.584659890500688,-9.196026986281058,846.9
math,50,0.01,0.1,1000,0.1,0.01,0.1,0.55,5,3,42,0.4269190420951034,0.9029764787034636,0.5383534610612711,0.9743102102640466,0.5797415620905483,-10.463826199462964,850.4
math,50,0.1,0.1,500,0.01,0.01,0.1,0.55,5,3,42,0.4281515519000219,0.835249783294484,0.4892502754011312,0.9595622077554692,0.566112257411275,-9.5294827006414,431.7
math,50,0.1,0.1,500,0.1,0.01,0.1,0.55,5,3,42,0.4322083182600562,0.8479275262589737,0.492442703341656,0.96028908225442,0.5725663127079992,-10.827697502925496,433.6
math,50,0.1,0.1,1000,0.01,0.01,0.1,0.55,5,3,42,0.4247818469637158,0.9023167295231024,0.5160637724507113,0.9738206735553526,0.5776326999426785,-9.189545697697897,847.9
math,50,0.1,0.1,1000,0.1,0.01,0.1,0.55,5,3,42,0.4308491449255271,0.9075341327713176,0.5420673135652245,0.975754891334548,0.5843024365458624,-10.467807705500608,899.4
math,60,0.01,0.1,500,0.01,0.01,0.1,0.55,5,3,42,0.4314699490908365,0.7437826538864003,0.4919049283007707,0.9403173410489144,0.5461291691573956,-9.267377424101875,507.8
math,60,0.01,0.1,500,0.1,0.01,0.1,0.55,5,3,42,0.4256700026898691,0.7384315584508434,0.5016308858526312,0.9393964109226433,0.5400356360042023,-10.85237968808189,511.1
math,60,0.01,0.1,1000,0.01,0.01,0.1,0.55,5,3,42,0.42582651166188,0.8512743980658273,0.5682701625326835,0.961899394495795,0.5676845183247518,-8.92424709729095,999.3
math,60,0.01,0.1,1000,0.1,0.01,0.1,0.55,5,3,42,0.4277028205494436,0.857141862614092,0.5465587707366465,0.9623751439992212,0.5706557330313357,-10.48243276640003,1024.0
math,60,0.1,0.1,500,0.01,0.01,0.1,0.55,5,3,42,0.4302253258896421,0.7420985311352339,0.5082186552915778,0.9431821904622436,0.544678128806699,-9.26216157888326,513.6
math,60,0.1,0.1,500,0.1,0.01,0.1,0.55,5,3,42,0.4283899263305752,0.7412586281855892,0.4877006636672235,0.9434390556232366,0.5429797316368835,-10.846995921633598,507.2
math,60,0.1,0.1,1000,0.01,0.01,0.1,0.55,5,3,42,0.4262374618812299,0.8480317686085674,0.5677994532795076,0.9657594788705366,0.5673258052498512,-8.918516005774446,1000.5
