subject,topic_id,baseline_year,year,years_elapsed,cosine_sim_to_baseline,drift_from_baseline
math,0,2000,2000,0,1.0,0.0
math,0,2000,2001,1,0.7,0.3
math,0,2000,2002,2,0.7,0.3
math,0,2000,2003,3,0.7,0.3
math,0,2000,2004,4,0.6,0.4
math,0,2000,2005,5,0.7,0.3
math,0,2000,2006,6,0.7,0.3
math,0,2000,2007,7,0.6,0.4
math,0,2000,2008,8,0.7,0.3
math,0,2000,2009,9,0.7,0.3
math,0,2000,2010,10,0.7,0.3
math,0,2000,2011,11,0.6,0.4
math,0,2000,2012,12,0.7,0.3
math,0,2000,2013,13,0.5,0.5
math,0,2000,2014,14,0.7,0.3
math,0,2000,2015,15,0.7,0.3
math,0,2000,2016,16,0.5,0.5
math,0,2000,2017,17,0.6,0.4
math,0,2000,2018,18,0.5,0.5
math,0,2000,2019,19,0.5,0.5
math,0,2000,2020,20,0.5,0.5
math,0,2000,2021,21,0.6,0.4
math,0,2000,2022,22,0.7,0.3
math,0,2000,2023,23,0.6,0.4
math,0,2000,2024,24,0.5,0.5
math,0,2000,2025,25,0.6,0.4
math,1,2000,2000,0,1.0,0.0
math,1,2000,2001,1,0.4,0.6
math,1,2000,2002,2,0.3,0.7
math,1,2000,2003,3,0.2,0.8
math,1,2000,2004,4,0.2,0.8
math,1,2000,2005,5,0.2,0.8
math,1,2000,2006,6,0.2,0.8
math,1,2000,2007,7,0.2,0.8
math,1,2000,2008,8,0.2,0.8
math,1,2000,2009,9,0.3,0.7
math,1,2000,2010,10,0.3,0.7
math,1,2000,2011,11,0.3,0.7
math,1,2000,2012,12,0.2,0.8
math,1,2000,2013,13,0.2,0.8
math,1,2000,2014,14,0.3,0.7
math,1,2000,2015,15,0.3,0.7
math,1,2000,2016,16,0.3,0.7
math,1,2000,2017,17,0.2,0.8
math,1,2000,2018,18,0.2,0.8
math,1,2000,2019,19,0.2,0.8
math,1,2000,2020,20,0.2,0.8
math,1,2000,2021,21,0.3,0.7
math,1,2000,2022,22,0.3,0.7
math,1,2000,2023,23,0.3,0.7
math,1,2000,2024,24,0.3,0.7
math,1,2000,2025,25,0.3,0.7
math,2,2000,2000,0,1.0,0.0
math,2,2000,2001,1,0.7,0.3
math,2,2000,2002,2,0.6,0.4
math,2,2000,2003,3,0.7,0.3
math,2,2000,2004,4,0.5,0.5
math,2,2000,2005,5,0.4,0.6
math,2,2000,2006,6,0.3,0.7
math,2,2000,2007,7,0.5,0.5
math,2,2000,2008,8,0.4,0.6
math,2,2000,2009,9,0.6,0.4
math,2,2000,2010,10,0.5,0.5
math,2,2000,2011,11,0.5,0.5
math,2,2000,2012,12,0.6,0.4
math,2,2000,2013,13,0.4,0.6
math,2,2000,2014,14,0.4,0.6
math,2,2000,2015,15,0.5,0.5
math,2,2000,2016,16,0.4,0.6
math,2,2000,2017,17,0.4,0.6
math,2,2000,2018,18,0.4,0.6
math,2,2000,2019,19,0.4,0.6
math,2,2000,2020,20,0.4,0.6
math,2,2000,2021,21,0.4,0.6
math,2,2000,2022,22,0.5,0.5
math,2,2000,2023,23,0.5,0.5
math,2,2000,2024,24,0.5,0.5
math,2,2000,2025,25,0.5,0.5
math,3,2000,2000,0,1.0,0.0
math,3,2000,2001,1,0.7,0.3
math,3,2000,2002,2,0.5,0.5
math,3,2000,2003,3,0.5,0.5
math,3,2000,2004,4,0.2,0.8
math,3,2000,2005,5,0.5,0.5
math,3,2000,2006,6,0.5,0.5
math,3,2000,2007,7,0.3,0.7
math,3,2000,2008,8,0.4,0.6
math,3,2000,2009,9,0.4,0.6
math,3,2000,2010,10,0.5,0.5
math,3,2000,2011,11,0.5,0.5
math,3,2000,2012,12,0.4,0.6
math,3,2000,2013,13,0.5,0.5
math,3,2000,2014,14,0.5,0.5
math,3,2000,2015,15,0.4,0.6
math,3,2000,2016,16,0.4,0.6
math,3,2000,2017,17,0.5,0.5
math,3,2000,2018,18,0.3,0.7
math,3,2000,2019,19,0.3,0.7
math,3,2000,2020,20,0.3,0.7
math,3,2000,2021,21,0.3,0.7
math,3,2000,2022,22,0.3,0.7
math,3,2000,2023,23,0.3,0.7
math,3,2000,2024,24,0.3,0.7
math,3,2000,2025,25,0.3,0.7
math,4,2000,2000,0,1.0,0.0
math,4,2000,2001,1,0.3,0.7
math,4,2000,2002,2,0.3,0.7
math,4,2000,2003,3,0.2,0.8
math,4,2000,2004,4,0.2,0.8
math,4,2000,2005,5,0.2,0.8
math,4,2000,2006,6,0.2,0.8
math,4,2000,2007,7,0.2,0.8
math,4,2000,2008,8,0.2,0.8
math,4,2000,2009,9,0.2,0.8
math,4,2000,2010,10,0.2,0.8
math,4,2000,2011,11,0.2,0.8
math,4,2000,2012,12,0.2,0.8
math,4,2000,2013,13,0.2,0.8
math,4,2000,2014,14,0.2,0.8
math,4,2000,2015,15,0.2,0.8
math,4,2000,2016,16,0.2,0.8
math,4,2000,2017,17,0.2,0.8
math,4,2000,2018,18,0.2,0.8
math,4,2000,2019,19,0.1,0.9
math,4,2000,2020,20,0.2,0.8
math,4,2000,2021,21,0.2,0.8
math,4,2000,2022,22,0.2,0.8
math,4,2000,2023,23,0.2,0.8
math,4,2000,2024,24,0.2,0.8
math,4,2000,2025,25,0.2,0.8
math,5,2000,2000,0,1.0,0.0
math,5,2000,2001,1,0.7,0.3
math,5,2000,2002,2,0.5,0.5
math,5,2000,2003,3,0.6,0.4
math,5,2000,2004,4,0.6,0.4
math,5,2000,2005,5,0.5,0.5
math,5,2000,2006,6,0.5,0.5
math,5,2000,2007,7,0.5,0.5
math,5,2000,2008,8,0.5,0.5
math,5,2000,2009,9,0.5,0.5
math,5,2000,2010,10,0.5,0.5
math,5,2000,2011,11,0.5,0.5
math,5,2000,2012,12,0.5,0.5
math,5,2000,2013,13,0.5,0.5
math,5,2000,2014,14,0.5,0.5
math,5,2000,2015,15,0.5,0.5
math,5,2000,2016,16,0.5,0.5
math,5,2000,2017,17,0.5,0.5
math,5,2000,2018,18,0.6,0.4
math,5,2000,2019,19,0.6,0.4
math,5,2000,2020,20,0.5,0.5
math,5,2000,2021,21,0.6,0.4
math,5,2000,2022,22,0.5,0.5
math,5,2000,2023,23,0.5,0.5
math,5,2000,2024,24,0.5,0.5
math,5,2000,2025,25,0.5,0.5
math,6,2000,2000,0,1.0,0.0
math,6,2000,2001,1,0.6,0.4
math,6,2000,2002,2,0.4,0.6
math,6,2000,2003,3,0.3,0.7
math,6,2000,2004,4,0.3,0.7
math,6,2000,2005,5,0.3,0.7
math,6,2000,2006,6,0.3,0.7
math,6,2000,2007,7,0.4,0.6
math,6,2000,2008,8,0.3,0.7
math,6,2000,2009,9,0.3,0.7
math,6,2000,2010,10,0.3,0.7
math,6,2000,2011,11,0.3,0.7
math,6,2000,2012,12,0.3,0.7
math,6,2000,2013,13,0.3,0.7
math,6,2000,2014,14,0.3,0.7
math,6,2000,2015,15,0.3,0.7
math,6,2000,2016,16,0.3,0.7
math,6,2000,2017,17,0.3,0.7
math,6,2000,2018,18,0.3,0.7
math,6,2000,2019,19,0.3,0.7
math,6,2000,2020,20,0.3,0.7
math,6,2000,2021,21,0.3,0.7
math,6,2000,2022,22,0.3,0.7
math,6,2000,2023,23,0.3,0.7
math,6,2000,2024,24,0.3,0.7
math,6,2000,2025,25,0.3,0.7
math,7,2000,2000,0,1.0,0.0
math,7,2000,2001,1,0.7,0.3
math,7,2000,2002,2,0.6,0.4
math,7,2000,2003,3,0.7,0.3
math,7,2000,2004,4,0.6,0.4
math,7,2000,2005,5,0.4,0.6
math,7,2000,2006,6,0.6,0.4
math,7,2000,2007,7,0.6,0.4
math,7,2000,2008,8,0.6,0.4
math,7,2000,2009,9,0.7,0.3
math,7,2000,2010,10,0.6,0.4
math,7,2000,2011,11,0.7,0.3
math,7,2000,2012,12,0.6,0.4
math,7,2000,2013,13,0.5,0.5
math,7,2000,2014,14,0.6,0.4
math,7,2000,2015,15,0.6,0.4
math,7,2000,2016,16,0.6,0.4
math,7,2000,2017,17,0.6,0.4
math,7,2000,2018,18,0.6,0.4
math,7,2000,2019,19,0.6,0.4
math,7,2000,2020,20,0.5,0.5
math,7,2000,2021,21,0.6,0.4
math,7,2000,2022,22,0.6,0.4
math,7,2000,2023,23,0.6,0.4
math,7,2000,2024,24,0.6,0.4
math,7,2000,2025,25,0.5,0.5
math,8,2000,2000,0,1.0,0.0
math,8,2000,2001,1,0.6,0.4
math,8,2000,2002,2,0.7,0.3
math,8,2000,2003,3,0.7,0.3
math,8,2000,2004,4,0.5,0.5
math,8,2000,2005,5,0.5,0.5
math,8,2000,2006,6,0.6,0.4
math,8,2000,2007,7,0.7,0.3
math,8,2000,2008,8,0.7,0.3
math,8,2000,2009,9,0.7,0.3
math,8,2000,2010,10,0.7,0.3
math,8,2000,2011,11,0.6,0.4
math,8,2000,2012,12,0.6,0.4
math,8,2000,2013,13,0.6,0.4
math,8,2000,2014,14,0.6,0.4
math,8,2000,2015,15,0.7,0.3
math,8,2000,2016,16,0.6,0.4
math,8,2000,2017,17,0.6,0.4
math,8,2000,2018,18,0.6,0.4
math,8,2000,2019,19,0.6,0.4
math,8,2000,2020,20,0.7,0.3
math,8,2000,2021,21,0.7,0.3
math,8,2000,2022,22,0.6,0.4
math,8,2000,2023,23,0.6,0.4
math,8,2000,2024,24,0.6,0.4
math,8,2000,2025,25,0.5,0.5
math,9,2000,2000,0,1.0,0.0
math,9,2000,2001,1,0.7,0.3
math,9,2000,2002,2,0.6,0.4
math,9,2000,2003,3,0.3,0.7
math,9,2000,2004,4,0.3,0.7
math,9,2000,2005,5,0.2,0.8
math,9,2000,2006,6,0.2,0.8
math,9,2000,2007,7,0.2,0.8
math,9,2000,2008,8,0.2,0.8
math,9,2000,2009,9,0.3,0.7
math,9,2000,2010,10,0.2,0.8
math,9,2000,2011,11,0.2,0.8
math,9,2000,2012,12,0.2,0.8
