subject,year_from,year_to,n_topics_t,n_topics_t1,n_stable,n_evolve,n_merge,n_mismatch,n_disappear,n_merge_groups,n_new,pct_stable,pct_evolve,pct_merge,pct_mismatch,pct_disappear
math,2000,2001,92,101,0,20,0,2,70,0,79,0.0,21.74,0.0,2.17,76.09
math,2001,2002,101,90,0,27,0,0,74,0,63,0.0,26.73,0.0,0.0,73.27
math,2002,2003,90,115,0,23,1,4,62,2,87,0.0,25.56,1.11,4.44,68.89
math,2003,2004,115,118,0,30,2,3,80,2,83,0.0,26.09,1.74,2.61,69.57
math,2004,2005,118,121,1,39,1,2,75,1,78,0.85,33.05,0.85,1.69,63.56
math,2005,2006,121,133,1,53,3,4,60,3,73,0.83,43.8,2.48,3.31,49.59
math,2006,2007,133,138,4,49,3,4,73,3,79,3.01,36.84,2.26,3.01,54.89
math,2007,2008,138,141,5,51,6,12,64,7,67,3.62,36.96,4.35,8.7,46.38
math,2008,2009,141,139,3,62,4,4,68,4,66,2.13,43.97,2.84,2.84,48.23
math,2009,2010,139,141,8,54,2,4,71,2,73,5.76,38.85,1.44,2.88,51.08
math,2010,2011,141,146,7,75,3,4,52,3,57,4.96,53.19,2.13,2.84,36.88
math,2011,2012,146,148,14,67,4,5,56,4,58,9.59,45.89,2.74,3.42,38.36
math,2012,2013,148,150,15,77,5,7,44,5,46,10.14,52.03,3.38,4.73,29.73
math,2013,2014,150,150,11,96,4,4,35,4,35,7.33,64.0,2.67,2.67,23.33
math,2014,2015,150,149,15,95,7,8,25,7,24,10.0,63.33,4.67,5.33,16.67
math,2015,2016,149,150,16,98,4,6,25,4,26,10.74,65.77,2.68,4.03,16.78
math,2016,2017,150,150,24,99,3,4,20,3,20,16.0,66.0,2.0,2.67,13.33
math,2017,2018,150,150,26,94,6,7,17,6,17,17.33,62.67,4.0,4.67,11.33
math,2018,2019,150,150,25,101,3,3,18,3,18,16.67,67.33,2.0,2.0,12.0
math,2019,2020,150,150,35,95,2,2,16,2,16,23.33,63.33,1.33,1.33,10.67
math,2020,2021,150,150,31,93,3,3,20,3,20,20.67,62.0,2.0,2.0,13.33
math,2021,2022,150,150,39,94,3,4,10,3,10,26.0,62.67,2.0,2.67,6.67
math,2022,2023,150,150,33,97,3,3,14,3,14,22.0,64.67,2.0,2.0,9.33
math,2023,2024,150,150,40,87,5,5,13,5,13,26.67,58.0,3.33,3.33,8.67
math,2024,2025,150,150,48,87,5,5,5,5,5,32.0,58.0,3.33,3.33,3.33
